home_team,away_team,provider,sp_home_rating,sp_away_rating,model_spread_home,market_spread_home,edge_points,cover_prob,tier,model_pick
Virginia,Virginia Tech,ESPN Bet,11.1,-10.1,23.7,-9.5,14.2,0.863,A,HOME (Virginia)
Louisville,Kentucky,Bovada,12.4,1.8,13.1,-1.0,12.1,0.824,A,HOME (Louisville)
Minnesota,Wisconsin,Bovada,1.5,-4.4,8.4,2.5,10.9,0.799,A,HOME (Minnesota)
San José State,Fresno State,Bovada,-14.3,1.8,-13.6,3.5,-10.1,0.781,A,AWAY (Fresno State)
Mississippi State,Ole Miss,ESPN Bet,4.1,24.0,-17.4,7.5,-9.9,0.777,A,AWAY (Ole Miss)
Missouri State,Louisiana Tech,Bovada,-10.7,-1.3,-6.9,-2.5,-9.4,0.765,A,AWAY (Louisiana Tech)
Oklahoma State,Iowa State,ESPN Bet,-15.1,9.9,-22.5,13.5,-9.0,0.756,A,AWAY (Iowa State)
Washington State,Oregon State,Bovada,3.8,-15.9,22.2,-14.0,8.2,0.736,A,HOME (Washington State)
Texas State,South Alabama,ESPN Bet,2.3,-12.7,17.5,-9.5,8.0,0.731,A,HOME (Texas State)
Florida Atlantic,East Carolina,ESPN Bet,-8.7,8.0,-14.2,6.5,-7.7,0.723,A,AWAY (East Carolina)
Nevada,UNLV,Bovada,-13.4,4.3,-15.2,7.5,-7.7,0.723,A,AWAY (UNLV)
Purdue,Indiana,DraftKings,-6.1,32.4,-36.0,28.5,-7.5,0.718,A,AWAY (Indiana)
Massachusetts,Bowling Green,DraftKings,-36.6,-12.6,-21.5,14.0,-7.5,0.718,A,AWAY (Bowling Green)
Colorado State,Air Force,ESPN Bet,-15.6,-3.2,-9.9,2.5,-7.4,0.715,A,AWAY (Air Force)
West Virginia,Texas Tech,ESPN Bet,-6.8,27.6,-31.9,24.5,-7.4,0.715,A,AWAY (Texas Tech)
USC,UCLA,Bovada,16.9,-8.7,28.1,-21.0,7.1,0.708,A,HOME (USC)
Hawai'i,Wyoming,Bovada,1.7,-11.3,15.5,-8.5,7.0,0.705,A,HOME (Hawai'i)
NC State,North Carolina,DraftKings,4.8,-6.6,13.9,-7.0,6.9,0.702,A,HOME (NC State)
Southern Miss,Troy,ESPN Bet,-7.1,-4.8,0.2,-6.5,-6.3,0.686,A,AWAY (Troy)
Baylor,Houston,ESPN Bet,1.4,7.4,-3.5,-2.5,-6.0,0.678,A,AWAY (Houston)
Buffalo,Ohio,Bovada,-7.5,-4.0,-1.0,7.0,6.0,0.678,A,HOME (Buffalo)
Auburn,Alabama,ESPN Bet,11.6,14.8,-0.7,6.5,5.8,0.672,A,HOME (Auburn)
Michigan,Ohio State,ESPN Bet,12.4,30.1,-15.2,9.5,-5.7,0.669,A,AWAY (Ohio State)
Miami (OH),Ball State,ESPN Bet,-3.4,-23.0,22.1,-16.5,5.6,0.667,A,HOME (Miami (OH))
Nebraska,Iowa,ESPN Bet,6.2,19.7,-11.0,5.5,-5.5,0.664,A,AWAY (Iowa)
Michigan State,Maryland,Bovada,-3.4,0.6,-1.5,-4.0,-5.5,0.664,A,AWAY (Maryland)
Kansas,Utah,ESPN Bet,4.1,22.2,-15.6,10.5,-5.1,0.653,A,AWAY (Utah)
Tennessee,Vanderbilt,Bovada,15.0,20.3,-2.8,-2.0,-4.8,0.644,A,AWAY (Vanderbilt)
Delaware,UTEP,ESPN Bet,-10.9,-17.5,9.1,-4.5,4.6,0.638,A,HOME (Delaware)
Sam Houston,Florida International,ESPN Bet,-27.8,-10.5,-14.8,10.5,-4.3,0.63,A,AWAY (Florida International)
Jacksonville State,Western Kentucky,Bovada,-6.7,1.6,-5.8,1.5,-4.3,0.63,A,AWAY (Western Kentucky)
Tulane,Charlotte,ESPN Bet,6.3,-26.7,35.5,-31.5,4.0,0.621,A,HOME (Tulane)
Old Dominion,Georgia State,Bovada,5.9,-24.5,32.9,-29.0,3.9,0.618,A,HOME (Old Dominion)
Arizona State,Arizona,Bovada,3.9,12.0,-5.6,2.0,-3.6,0.609,A,AWAY (Arizona)
South Carolina,Clemson,DraftKings,5.9,9.5,-1.1,-2.5,-3.6,0.609,A,AWAY (Clemson)
Louisiana,UL Monroe,ESPN Bet,-10.1,-21.6,14.0,-10.5,3.5,0.606,A,HOME (Louisiana)
TCU,Cincinnati,Bovada,8.3,4.5,6.3,-3.0,3.3,0.6,A,HOME (TCU)
Pittsburgh,Miami,ESPN Bet,8.4,20.7,-9.8,6.5,-3.3,0.6,A,AWAY (Miami)
Georgia Tech,Georgia,ESPN Bet,9.3,24.1,-12.3,15.5,3.2,0.597,B,HOME (Georgia Tech)
Marshall,Georgia Southern,ESPN Bet,-4.5,-9.4,7.4,-10.5,-3.1,0.594,B,AWAY (Georgia Southern)
UTSA,Army,ESPN Bet,3.7,0.8,5.4,-8.5,-3.1,0.594,B,AWAY (Army)
Illinois,Northwestern,DraftKings,12.9,5.8,9.6,-7.0,2.6,0.579,B,HOME (Illinois)
Arkansas,Missouri,Bovada,5.1,14.4,-6.8,4.5,-2.3,0.57,B,AWAY (Missouri)
Utah State,Boise State,ESPN Bet,-3.1,3.1,-3.7,1.5,-2.2,0.567,B,AWAY (Boise State)
BYU,UCF,Bovada,15.9,-1.2,19.6,-17.5,2.1,0.564,B,HOME (BYU)
